0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,0,1350,2021,0,0,0,0,3482,0,0,0,0,0,0
2,1350,0,766,1239,0,0,0,0,0,0,0,0,0,0
3,2021,766,0,0,0,2364,0,0,0,0,0,0,0,0
4,1229,0,0,0,862,0,0,0,0,0,2611,0,0,0
5,0,0,0,862,0,1712,736,0,0,0,0,0,0,0
6,0,0,2364,0,1712,0,0,0,0,1276,0,0,0,2286
7,0,0,0,0,736,0,0,719,0,0,0,0,0,0
8,3482,0,0,0,0,0,719,0,787,0,0,0,0,0
9,0,0,0,0,0,0,0,787,0,1101,0,571,542,0
10,0,0,0,0,0,1276,0,0,1101,0,0,0,0,0
11,0,0,0,2611,0,0,0,0,0,0,0,798,988,0
12,0,0,0,0,0,0,0,0,571,0,798,0,0,549
13,0,0,0,0,0,0,0,0,542,0,988,0,0,282
14,0,0,0,0,0,2286,0,0,0,0,0,549,282,0
